id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1522909870114185223,1522909870114185223,2022-05-07 09:03:01 -03,2022-05-07,09:03:01,-300,85585107,acaciofavacho,Acácio Favacho,,"Nesta sexta soube que o Senador @davialcolumbre teve um problema de saúde, sendo transferido para São Paulo e assistido pela equipe da Dra. Ludhmila Hajjar. Desejo uma recuperação rápida e que logo nosso colega de bancada volte.  Muita saúde, Davi. Estamos em oração!",pt,"[{'screen_name': 'davialcolumbre', 'name': 'davi alcolumbre', 'id': '2716763753'}]",[],[],0,0,0,[],[],https://twitter.com/AcacioFavacho/status/1522909870114185223,False,,0,,,,,,,,[],,,,
1522255667804790784,1522255667804790784,2022-05-05 13:43:28 -03,2022-05-05,13:43:28,-300,85585107,acaciofavacho,Acácio Favacho,,"É com imensa alegria que comunico a aprovação pelo plenário da Câmara dos Deputados do PL 2.564, de 2020, que institui o piso salarial nacional do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira. Mais uma vitória dos profissionais da saúde!",pt,[],[],[],0,0,2,[],[],https://twitter.com/AcacioFavacho/status/1522255667804790784,False,,0,,,,,,,,[],,,,
1521973725888921601,1521973725888921601,2022-05-04 19:03:07 -03,2022-05-04,19:03:07,-300,85585107,acaciofavacho,Acácio Favacho,,"Comunicando que o PL 2.564, de 2020, do Senado Federal, que institui o piso salarial nacional do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira. Esta em apreciação no plenário da Câmara nesse momento!",pt,[],[],[],0,0,1,[],[],https://twitter.com/AcacioFavacho/status/1521973725888921601,False,,0,,,,,,,,[],,,,
1521965036306157569,1521965036306157569,2022-05-04 18:28:36 -03,2022-05-04,18:28:36,-300,85585107,acaciofavacho,Acácio Favacho,,Vitória dos profissionais de saúde! Aprovada na CCJ a PEC09! É respeito e valorização aos Agentes Comunitários de Saúde e de Combate às Endemias.,pt,[],[],[],0,1,4,[],[],https://twitter.com/AcacioFavacho/status/1521965036306157569,False,,0,,,,,,,,[],,,,
1521654140333699073,1521654140333699073,2022-05-03 21:53:12 -03,2022-05-03,21:53:12,-300,85585107,acaciofavacho,Acácio Favacho,,"Minha solidariedade ao Portela, a toda sua família e colaboradores, que nessa madrugada, foram surpreendidos com um incêndio. Sabemos o quanto é difícil e doloroso ver o trabalho de uma vida toda sendo destruído, mas tenho fé que você vai conseguir reerguer tudo! Força Portela!",pt,[],[],[],0,0,6,[],[],https://twitter.com/AcacioFavacho/status/1521654140333699073,False,,0,,,,,,,,[],,,,
1517328980566810625,1517328980566810625,2022-04-21 23:26:34 -03,2022-04-21,23:26:34,-300,85585107,acaciofavacho,Acácio Favacho,,"Nossa solidariedade às mais de 4 mil famílias atingidas pelas cheias do rio Jari. Estivemos ontem, 20/04, no Ministério da Cidadania solicitando recursos para ajudar todos os desabrigados e desalojados. Estamos juntos em prol das vítimas da enchente no Vale do Jari!",pt,[],[],[],0,1,3,[],[],https://twitter.com/AcacioFavacho/status/1517328980566810625,False,,0,,,,,,,,[],,,,
1517288663587119106,1517288663587119106,2022-04-21 20:46:21 -03,2022-04-21,20:46:21,-300,85585107,acaciofavacho,Acácio Favacho,,"Brasília completa 62 anos de história e o presente é de todos aqueles que têm a oportunidade de conhecer a arquitetura, a organização urbanística e a riqueza cultural da capital federal. Parabéns a todos que fazem de Brasília um espaço tão diverso e acolhedor!",pt,[],[],[],0,1,1,[],[],https://twitter.com/AcacioFavacho/status/1517288663587119106,False,,0,,,,,,,,[],,,,
1512866324090957825,1512866324090957825,2022-04-09 15:53:34 -03,2022-04-09,15:53:34,-300,85585107,acaciofavacho,Acácio Favacho,,Deputado Acacio teve um importante papel como relator do Projeto de Lei que transfere terras da União para o Amapá.  https://t.co/vc1i2HNJkG,pt,[],[],[],2,0,1,[],[],https://twitter.com/AcacioFavacho/status/1512866324090957825,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1512866275852263439/pu/img/B1pjsje0KCEfrmdx.jpg,,,,,,,[],,,,
1506791184705937414,1506791184705937414,2022-03-23 21:33:07 -03,2022-03-23,21:33:07,-300,85585107,acaciofavacho,Acácio Favacho,, https://t.co/td2nMkt6DJ,und,[],[],[],3,1,5,[],[],https://twitter.com/AcacioFavacho/status/1506791184705937414,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1506791094838779907/pu/img/YWMJ6yAlnaZADoe2.jpg,,,,,,,[],,,,
1506417999145746435,1506417999145746435,2022-03-22 20:50:13 -03,2022-03-22,20:50:13,-300,85585107,acaciofavacho,Acácio Favacho,,"Aprovado o regime de urgência na tramitação do projeto de lei que institui o piso salarial nacional do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira. Para quem salva vidas temos que garantir não só os aplausos, mas a melhoria salarial.  Sigamos!",pt,[],[],[],0,0,3,[],[],https://twitter.com/AcacioFavacho/status/1506417999145746435,False,,0,,,,,,,,[],,,,
