id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1523355738227154944,1523355738227154944,2022-05-08 14:34:45 -03,2022-05-08,14:34:45,-300,125553515,depluizcarlos,Luiz Carlos,,"O dia das mães é uma data simbólica. Em verdade, devemos reconhecer e externar o nosso amor por nossas rainhas todos os dias.  Hoje, abraço minha mãe, Josefina, e minha esposa Simy, extendendo e enviando boas energias a todas as mães do país.  Feliz dia das Mães! Amo vocês!",pt,[],[],[],0,0,1,[],[],https://twitter.com/DepLuizCarlos/status/1523355738227154944,False,,0,,,,,,,,[],,,,
1522687879947993089,1522687879947993089,2022-05-06 18:20:55 -03,2022-05-06,18:20:55,-300,125553515,depluizcarlos,Luiz Carlos,,"Enviamos boas energias, com desejo de pronta recuperação ao amigo e líder Senador @davialcolumbre.  Estamos em orações para que retorne muito breve a todas as suas funções em Brasília e em prol do nosso querido Amapá.",pt,"[{'screen_name': 'davialcolumbre', 'name': 'davi alcolumbre', 'id': '2716763753'}]",[],[],0,1,3,[],[],https://twitter.com/DepLuizCarlos/status/1522687879947993089,False,,0,,,,,,,,[],,,,
1497295800501743623,1497295800501743623,2022-02-25 16:41:51 -03,2022-02-25,16:41:51,-300,125553515,depluizcarlos,Luiz Carlos,,@AntonioTelesJr consegue explicar quanto custa uma guerra? Como escolhe o que cortar no orçamento de um país para financiar operações militares?,pt,[],[],[],0,0,1,[],[],https://twitter.com/DepLuizCarlos/status/1497295800501743623,False,,0,,,,,,,,[],,,,
1496828505161617410,1496828505161617410,2022-02-24 09:45:00 -03,2022-02-24,09:45:00,-300,125553515,depluizcarlos,Luiz Carlos,,"O uso da força militar para solução de conflitos já não é uma alternativa há tempos. A perda de vidas humanas em uma luta armada interfere diretamente no equilíbrio das relações, da economia global. Condenar é a única posição plausível. #Ukraine #Ucraina #Russia",pt,[],[],[],0,1,2,"['ukraine', 'ucraina', 'russia']",[],https://twitter.com/DepLuizCarlos/status/1496828505161617410,False,,0,,,,,,,,[],,,,
1493991957504397318,1493955721003773954,2022-02-16 13:53:34 -03,2022-02-16,13:53:34,-300,125553515,depluizcarlos,Luiz Carlos,,"@fernandopini1 Se a CTMAC te pega, notificação na hora. Desce esse carro do passeio!!!",pt,[],[],[],1,0,0,[],[],https://twitter.com/DepLuizCarlos/status/1493991957504397318,False,,0,,,,,,,,"[{'screen_name': 'fernandopini1', 'name': 'Fernando Pini', 'id': '2673019133'}]",,,,
1493991508340580354,1493991508340580354,2022-02-16 13:51:47 -03,2022-02-16,13:51:47,-300,125553515,depluizcarlos,Luiz Carlos,,A Dra. no teu couro!!!,pt,[],[],[],1,0,2,[],[],https://twitter.com/DepLuizCarlos/status/1493991508340580354,False,https://twitter.com/cleciozinho/status/1493962288780435459,0,,,,,,,,[],,,,
1493991251846311948,1493991250386690049,2022-02-16 13:50:46 -03,2022-02-16,13:50:46,-300,125553515,depluizcarlos,Luiz Carlos,,"Tragédias como essas se repetem todo ano. Meu Amapá, infelizmente, também sofre com tragédias que desabrigam famílias de tempos em tempos. Como resposta, precisamos de mais “Janarys Nunes”, Miracemas e Macapabas. Será uma meta minha doravante.",pt,[],[],[],0,0,1,[],[],https://twitter.com/DepLuizCarlos/status/1493991251846311948,False,,0,,,,,,,,[],,,,
1493991250386690049,1493991250386690049,2022-02-16 13:50:45 -03,2022-02-16,13:50:45,-300,125553515,depluizcarlos,Luiz Carlos,,"A tragédia de Petrópolis, por mais uma vez, revela essa chaga que maltrata o povo Brasileiro. Um país continental que não consegue ofertar um teto seguro para seus cidadãos. MG, SP e agora RJ. Precisamos priorizar o direito à moradia, este, que já reside na CF/88.",pt,[],[],[],1,1,2,[],[],https://twitter.com/DepLuizCarlos/status/1493991250386690049,False,,0,,,,,,,,[],,,,
1493988659900698630,1493333068001722374,2022-02-16 13:40:28 -03,2022-02-16,13:40:28,-300,125553515,depluizcarlos,Luiz Carlos,,"@edianeborgs Nossa amizade contamina sua visão! Obrigado pelo carinho, minha amiga. Ooolhaaaa!",pt,[],[],[],0,0,1,[],[],https://twitter.com/DepLuizCarlos/status/1493988659900698630,False,,0,,,,,,,,"[{'screen_name': 'edianeborgs', 'name': 'Ediane Borges', 'id': '113359196'}]",,,,
1464659684896522243,1464659684896522243,2021-11-27 15:17:35 -03,2021-11-27,15:17:35,-300,125553515,depluizcarlos,Luiz Carlos,,"Acredito no equilíbrio do universo. Sei que não podemos ter tudo. Por isso, fazer escolhas envolve ceder algo dada as prioridades. Assim, mesmo sendo Vascaíno, aceito que o @flamengo ganhe pois hoje minha prioridade é o @EduardoLeite_  #previas #psdb #libertadores",pt,"[{'screen_name': 'flamengo', 'name': 'flamengo', 'id': '59591856'}, {'screen_name': 'eduardoleite_', 'name': 'eduardo leite', 'id': '123891446'}]",[],[],1,1,7,"['previas', 'psdb', 'libertadores']",[],https://twitter.com/DepLuizCarlos/status/1464659684896522243,False,,0,,,,,,,,[],,,,
