id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1511654097132392456,1511654097132392456,2022-04-06 07:36:36 -03,2022-04-06,07:36:36,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,"Aprovamos na Câmara, proposta que quebra o monopólio do governo para permitir a fabricação pela iniciativa privada de todos os tipos de radioisótopos de uso médico. O objetivo é aumentar a concorrência para baixar os preços deste tipo de medicamento usado no tratamento do câncer.",pt,[],[],[],0,1,4,[],[],https://twitter.com/MiltonVieiraOfc/status/1511654097132392456,False,,0,,,,,,,,[],,,,
1506770753391403014,1506770753391403014,2022-03-23 20:11:56 -03,2022-03-23,20:11:56,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,"Aprovamos hoje na Câmara, a PEC 22/2011 que prevê um piso nacional de 2 salários mínimos para os cerca de 400 mil agentes comunitários de saúde e de combate às endemias, a ser bancado pela União. O texto garante ainda adicional de insalubridade e aposentadoria especial.",pt,[],[],[],2,1,2,[],[],https://twitter.com/MiltonVieiraOfc/status/1506770753391403014,False,,0,,,,,,,,[],,,,
1506406089146912775,1506406089146912775,2022-03-22 20:02:53 -03,2022-03-22,20:02:53,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,"Aprovamos hoje na Câmara a urgência para o PL do piso salarial da enfermagem que interessa a mais de 1 milhão de trabalhadores deste setor (enfermagem,técnico e auxiliar de enfermagem e parteiras). Será criado um grupo de trabalho para indicar fontes de financiamento do reajuste.",pt,[],[],[],3,1,1,[],[],https://twitter.com/MiltonVieiraOfc/status/1506406089146912775,False,,0,,,,,,,,[],,,,
1503850706159161360,1503850706159161360,2022-03-15 18:48:43 -03,2022-03-15,18:48:43,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,"Aprovamos hoje na Câmara projeto que cria a Política Nacional de Valorização das Mulheres na Área de Segurança Pública, com diretrizes relacionadas à reserva de vagas em concursos públicos e aumento da licença-maternidade. A matéria será enviada ao Senado.",pt,[],[],[],2,1,6,[],[],https://twitter.com/MiltonVieiraOfc/status/1503850706159161360,False,,0,,,,,,,,[],,,,
1501690856834748422,1501690856834748422,2022-03-09 19:46:14 -03,2022-03-09,19:46:14,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,"Será criado no âmbito do SUS, o Prog.Nac. de Navegação de Paciente com câncer de mama. Visa facilitar a trajetória do paciente durante o tratamento contra o câncer auxiliando no agendamento de exames e consultas e explicando sobre o SUS. É o que prevê projeto que aprovamos hoje.",pt,[],[],[],1,0,2,[],[],https://twitter.com/MiltonVieiraOfc/status/1501690856834748422,False,,0,,,,,,,,[],,,,
1501687973552824321,1501687973552824321,2022-03-09 19:34:47 -03,2022-03-09,19:34:47,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,Aprovamos hoje na Câmara projeto de lei (PL4875/20) que inclui o pagamento de aluguéis por até 6 meses entre as medidas protetivas para mulheres vítimas de violência doméstica e familiar. A proposta será enviada ao Senado.,pt,[],[],[],2,0,1,[],[],https://twitter.com/MiltonVieiraOfc/status/1501687973552824321,False,,0,,,,,,,,[],,,,
1501377202071429123,1501377202071429123,2022-03-08 22:59:53 -03,2022-03-08,22:59:53,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,"Para terem acesso à verbas federais nas áreas de segurança pública e direitos humanos, estados e municípios serão obrigados a elaborarem um plano de metas para enfrentamento à violência doméstica e familiar contra a mulher. É o que prevê projeto que aprovamos hoje na Câmara.",pt,[],[],[],1,0,0,[],[],https://twitter.com/MiltonVieiraOfc/status/1501377202071429123,False,,0,,,,,,,,[],,,,
1501330324101505030,1501330324101505030,2022-03-08 19:53:37 -03,2022-03-08,19:53:37,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,Aprovamos hoje por unanimidade na Câmara dos Deputados uma moção de repúdio às declarações discriminatórias e machistas do deputado estadual paulista Arthur do Val sobre as mulheres ucranianas durante viagem em meio à guerra contra a Rússia.,pt,[],[],[],2,0,3,[],[],https://twitter.com/MiltonVieiraOfc/status/1501330324101505030,False,,0,,,,,,,,[],,,,
1501330223341600768,1501330223341600768,2022-03-08 19:53:13 -03,2022-03-08,19:53:13,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,Ao menos 5% das verbas empenhadas do Fundo Nacional de Segurança Pública (FNSP) serão destinadas para ações de enfrentamento à violência contra a mulher. É o que prevê Projeto de Lei que aprovamos hoje na Câmara dos Deputados.,pt,[],[],[],0,0,0,[],[],https://twitter.com/MiltonVieiraOfc/status/1501330223341600768,False,,0,,,,,,,,[],,,,
1501327937110360066,1501327937110360066,2022-03-08 19:44:08 -03,2022-03-08,19:44:08,-300,176920334,miltonvieiraofc,miltonvieiraoficial,,"Aprovamos hoje na Câmara projeto prevendo agora no Código Penal que não haverá mais isenção de pena para crimes contra o patrimônio cometidos em prejuízo do cônjuge, enquanto durar o casamento, ou mesmo contra parentes de primeiro grau.",pt,[],[],[],0,1,4,[],[],https://twitter.com/MiltonVieiraOfc/status/1501327937110360066,False,,0,,,,,,,,[],,,,
