id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1524103041888268290,1524103041888268290,2022-05-10 16:04:16 -03,2022-05-10,16:04:16,-300,77210725,patrus_ananias,Patrus Ananias,,"@LulaOficial em Contagem nesta terça (10) foi só empolgação e alegria! Como em BH, movimentos sociais, parlamentares e militantes foram reafirmar seu apoio ao presidente, nesta cidade berço das lutas dos trabalhadores. #VamosJuntosPeloBrasil  https://t.co/3lXmQGV3SQ",pt,[],[],['https://pbs.twimg.com/media/FSazF7kWUAcbYwS.jpg'],0,7,38,['vamosjuntospelobrasil'],[],https://twitter.com/Patrus_Ananias/status/1524103041888268290,False,,1,https://pbs.twimg.com/media/FSazF7kWUAcbYwS.jpg,,,,,,,[],,,,
1524037493649199104,1524037487521378305,2022-05-10 11:43:48 -03,2022-05-10,11:43:48,-300,77210725,patrus_ananias,Patrus Ananias,,"O nosso reencontro reafirma o compromisso com a democracia no lançamento da pré-campanha de Lula e Alckmin. Com muita esperança, aceitamos o desafio, e confiantes no sistema eleitoral brasileiro e nas instituições democráticas, abraçamos Lula!  https://t.co/e3VInzTPSE",pt,[],[],"['https://pbs.twimg.com/media/FSZ39OAXwAIlb-W.jpg', 'https://pbs.twimg.com/media/FSZ39OKXsAAOPYo.jpg']",1,2,12,[],[],https://twitter.com/Patrus_Ananias/status/1524037493649199104,False,,1,https://pbs.twimg.com/media/FSZ39OAXwAIlb-W.jpg,,,,,,,[],,,,
1524037487521378305,1524037487521378305,2022-05-10 11:43:46 -03,2022-05-10,11:43:46,-300,77210725,patrus_ananias,Patrus Ananias,,"O reencontro de @LulaOficial com os mineiros quebrou um jejum de anos. No Expominas, região oeste de BH, era possível escutar os vários sotaques dos mineiros de todos os cantos das diversas Minas e Gerais.  https://t.co/sRtMMhtFjf",pt,"[{'screen_name': 'lulaoficial', 'name': 'lula', 'id': '2670726740'}]",[],"['https://pbs.twimg.com/media/FSZ3uwjX0AAq688.jpg', 'https://pbs.twimg.com/media/FSZ3y84XoAA71O6.jpg']",2,11,43,[],[],https://twitter.com/Patrus_Ananias/status/1524037487521378305,False,,1,https://pbs.twimg.com/media/FSZ3uwjX0AAq688.jpg,,,,,,,[],,,,
1523722453096484866,1523722453096484866,2022-05-09 14:51:56 -03,2022-05-09,14:51:56,-300,77210725,patrus_ananias,Patrus Ananias,,"O presidente @LulaOficial já está em BH e participamos de uma reunião com ele e movimentos sindicais e sociais, parlamentares e lideranças do PT e de partidos aliados. Estamos com Lula para que o Brasil retome o caminho da paz e do desenvolvimento econômico com justiça social ✊  https://t.co/N041hgFJLD",pt,"[{'screen_name': 'lulaoficial', 'name': 'lula', 'id': '2670726740'}]",[],"['https://pbs.twimg.com/media/FSVZScdXEAsZQG9.jpg', 'https://pbs.twimg.com/media/FSVZSccXIAETrnO.jpg']",6,15,82,[],[],https://twitter.com/Patrus_Ananias/status/1523722453096484866,False,,1,https://pbs.twimg.com/media/FSVZScdXEAsZQG9.jpg,,,,,,,[],,,,
1523661068005904384,1523661041846001664,2022-05-09 10:48:01 -03,2022-05-09,10:48:01,-300,77210725,patrus_ananias,Patrus Ananias,,#tiraopédaminhaserra  https://t.co/nJbcoWFo9b,und,[],[],['https://pbs.twimg.com/media/FSUhqpxWUAMJpER.jpg'],0,3,17,['tiraopédaminhaserra'],[],https://twitter.com/Patrus_Ananias/status/1523661068005904384,False,,1,https://pbs.twimg.com/media/FSUhqpxWUAMJpER.jpg,,,,,,,[],,,,
1523661058267054087,1523661041846001664,2022-05-09 10:47:59 -03,2022-05-09,10:47:59,-300,77210725,patrus_ananias,Patrus Ananias,,"A luta para impedir mais um projeto de mineração na Serra do Curral é para frear a destruição que já acontece ali, normalmente longe dos olhos dos moradores da capital e de grande parte das cidades da região metropolitana.  https://t.co/78Z8QiWJDR",pt,[],[],['https://pbs.twimg.com/media/FSUhqGlXMAEHNpb.jpg'],1,3,19,[],[],https://twitter.com/Patrus_Ananias/status/1523661058267054087,False,,1,https://pbs.twimg.com/media/FSUhqGlXMAEHNpb.jpg,,,,,,,[],,,,
1523661049962299392,1523661041846001664,2022-05-09 10:47:57 -03,2022-05-09,10:47:57,-300,77210725,patrus_ananias,Patrus Ananias,,"no lugar de enxergar a Serra ainda preservada, nós podemos ver sua parte oculta e devastada pela mineração, algo impossível de ser visto dos bairros da capital. (+)  https://t.co/Ff0Q9VV4gg",pt,[],[],['https://pbs.twimg.com/media/FSUhpnrX0AIBeXb.jpg'],1,4,13,[],[],https://twitter.com/Patrus_Ananias/status/1523661049962299392,False,,1,https://pbs.twimg.com/media/FSUhpnrX0AIBeXb.jpg,,,,,,,[],,,,
1523661041846001664,1523661041846001664,2022-05-09 10:47:55 -03,2022-05-09,10:47:55,-300,77210725,patrus_ananias,Patrus Ananias,,"A primeira imagem traz a vista que os moradores e visitantes de Belo Horizonte têm da Serra do Curral, com uma mudança fundamental - (+)  https://t.co/fYOJm9mnzf",pt,[],[],['https://pbs.twimg.com/media/FSUhpI3WUAIApmk.jpg'],1,16,50,[],[],https://twitter.com/Patrus_Ananias/status/1523661041846001664,False,,1,https://pbs.twimg.com/media/FSUhpI3WUAIApmk.jpg,,,,,,,[],,,,
1523022455891181569,1523022455891181569,2022-05-07 16:30:24 -03,2022-05-07,16:30:24,-300,77210725,patrus_ananias,Patrus Ananias,,"#VamosJuntosPeloBrasil melhorar a vida do povo, com atenção muito especial para os empobrecidos, os que têm fome de comida, de água e de justiça ✊",pt,[],[],[],0,4,20,['vamosjuntospelobrasil'],[],https://twitter.com/Patrus_Ananias/status/1523022455891181569,False,https://twitter.com/LulaOficial/status/1522966680212852739,0,,,,,,,,[],,,,
1522691445383213056,1522691442711408643,2022-05-06 18:35:05 -03,2022-05-06,18:35:05,-300,77210725,patrus_ananias,Patrus Ananias,,"Contra a violência, o atraso e o sectarismo, somos união, paz, alegria e esperança!  Não deixe de fazer sua inscrição:  https://t.co/PA5JUNjoDA  Nos vemos lá!",pt,[],['https://ptmg.org.br/inscricoes/'],[],0,4,16,[],[],https://twitter.com/Patrus_Ananias/status/1522691445383213056,False,,0,,,,,,,,[],,,,
