id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
565636947373457408,565636947373457408,2015-02-11 20:22:11 -02,2015-02-11,20:22:11,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,MANUEL MARCOS PARTICIPA DE DEBATE PARA MELHORIA DE TRANSPORTE PÚBLICO  http://t.co/29jktKmscE,es,[],['http://wp.me/p326kD-ij'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/565636947373457408,False,,0,,,,,,,,[],,,,
565631685539409920,565631685539409920,2015-02-11 20:01:17 -02,2015-02-11,20:01:17,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,MANUEL MARCOS PARTICIPA DE DEBATE PARA MELHORIA DE TRANSPORTE PÚBLICO  http://t.co/3JmRMWmMVq,es,[],['http://wp.me/p326kD-ie'],[],0,0,1,[],[],https://twitter.com/PrManuelMarcos/status/565631685539409920,False,,0,,,,,,,,[],,,,
565602397322747904,565602397322747904,2015-02-11 18:04:54 -02,2015-02-11,18:04:54,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,VEREADOR APRESENTA PROPOSTA PARA MELHORIA DE RUAS  http://t.co/Ba2UrQPapU,pt,[],['http://wp.me/p326kD-hE'],[],0,0,1,[],[],https://twitter.com/PrManuelMarcos/status/565602397322747904,False,,0,,,,,,,,[],,,,
546016494534922240,546016494534922240,2014-12-19 16:57:31 -02,2014-12-19,16:57:31,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,MANUEL MARCOS PRESTIGIA DIPLOMAÇÃO DE DEPUTADOS DO PRB-ACRE  http://t.co/K8cE0CMiLk,pt,[],['http://wp.me/p326kD-g2'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/546016494534922240,False,,0,,,,,,,,[],,,,
545358108340387840,545358108340387840,2014-12-17 21:21:19 -02,2014-12-17,21:21:19,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,MANUEL MARCOS SUPLENTE DA MESA DIRETORA DA CÂMARA MUNICIPAL BIÊNIO 2015/2016  http://t.co/MaDojWlbqW,pt,[],['http://wp.me/p326kD-fP'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/545358108340387840,False,,0,,,,,,,,[],,,,
545320291514077184,545320291514077184,2014-12-17 18:51:03 -02,2014-12-17,18:51:03,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,MANDATO VEREADOR MANUEL MARCOS 2013/2014  http://t.co/PRZSpehU3l,es,[],['http://wp.me/p326kD-fI'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/545320291514077184,False,,0,,,,,,,,[],,,,
538002808746676224,538002808746676224,2014-11-27 14:13:59 -02,2014-11-27,14:13:59,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,Projeto de Lei Cidade Limpa  http://t.co/bT8r3qXf2U,pt,[],['http://wp.me/p326kD-fo'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/538002808746676224,False,,0,,,,,,,,[],,,,
486571522224435200,486571522224435200,2014-07-08 15:04:25 -03,2014-07-08,15:04:25,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,VEREADOR MANUEL MARCOS CRIA COMISSÃO DE FISCALIZAÇÃO DA REDE BANCÁRIA DE RIO BRANCO  http://t.co/IZSmQrXaHO,pt,[],['http://wp.me/p326kD-fb'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/486571522224435200,False,,0,,,,,,,,[],,,,
453586817309110272,453586817309110272,2014-04-08 14:34:59 -03,2014-04-08,14:34:59,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,VEREADOR PEDE INTERVENÇÃO AO GOVERNADOR TIÃO VIANA PARA SEGURANÇA DO ESTADO  http://t.co/5nIXoAZ7z0,pt,[],['http://wp.me/p326kD-f7'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/453586817309110272,False,,0,,,,,,,,[],,,,
450650974978183168,450650974978183168,2014-03-31 12:08:59 -03,2014-03-31,12:08:59,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,PRB ACRE E FUNDAÇÃO REPUBLICANA BRASILEIRA PROMOVEM CURSO DE FORMAÇÃO POLÍTICA  http://t.co/TtBEBWC81Y,pt,[],['http://wp.me/p326kD-eT'],[],0,0,1,[],[],https://twitter.com/PrManuelMarcos/status/450650974978183168,False,,0,,,,,,,,[],,,,
445994407901552641,445994407901552641,2014-03-18 15:45:27 -03,2014-03-18,15:45:27,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,REQUERIMENTO QUE CRIA A COMISSÃO PARA FISCALIZAR A REDE BANCÁRIA DE RIO BRANCO É APROVADO  http://t.co/yVlpWy4JIh,pt,[],['http://wp.me/p326kD-eL'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/445994407901552641,False,,0,,,,,,,,[],,,,
439152040803966976,439152040803966976,2014-02-27 18:36:20 -03,2014-02-27,18:36:20,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,VEREADOR APRESENTA REQUERIMENTO PARA FISCALIZAR A REDE BANCARIA DE RIO BRANCO  http://t.co/MjfmhKSR3r,pt,[],['http://wp.me/p326kD-ey'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/439152040803966976,False,,0,,,,,,,,[],,,,
438325566605783040,438325566605783040,2014-02-25 11:52:13 -03,2014-02-25,11:52:13,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,MPA/ RECADASTRAMENTO DE PESCADORES É REALIZADO NO MUNICÍPIO DE MÂNCIO LIMA  http://t.co/mbxapO2uXy,pt,[],['http://wp.me/p326kD-ec'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/438325566605783040,False,,0,,,,,,,,[],,,,
436153538234703872,436153538234703872,2014-02-19 12:01:21 -03,2014-02-19,12:01:21,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,ELEIÇÕES 2014: PRB ACRE REUNE PRÉ-CANDIDATOS EM SEU DIRETÓRIO  http://t.co/2SSaeasChe,pt,[],['http://wp.me/p326kD-e3'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/436153538234703872,False,,0,,,,,,,,[],,,,
433354589354463234,433354589354463234,2014-02-11 19:39:20 -02,2014-02-11,19:39:20,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,VEREADOR MANUEL MARCOS APOIA REGISTRO DE AQUICULTORES REALIZADO EM ASSIS BRASIL  http://t.co/d7QL8HlLLc,pt,[],['http://wp.me/p326kD-dY'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/433354589354463234,False,,0,,,,,,,,[],,,,
433342954665541634,433342954665541634,2014-02-11 18:53:06 -02,2014-02-11,18:53:06,-300,1060814570,prmanuelmarcos,Vereador Pr. Manuel,,48 REGISTROS DE AQUICULTORES FORAM REALIZADOS EM ASSIS BRASIL  http://t.co/GxOdrDLpYQ,pt,[],['http://wp.me/p326kD-dK'],[],0,0,0,[],[],https://twitter.com/PrManuelMarcos/status/433342954665541634,False,,0,,,,,,,,[],,,,
