id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1448650143868194824,1448650143868194824,2021-10-14 11:01:23 -03,2021-10-14,11:01:23,-300,1546427636,carlosgomesdep,Carlos Gomes,,"𝐏𝐫𝐢𝐧𝐜𝐢𝐩𝐚𝐥 𝐫𝐞𝐢𝐯𝐢𝐧𝐝𝐢𝐜𝐚çã𝐨 é a 𝐚𝐩𝐫𝐨𝐯𝐚çã𝐨 𝐝𝐨 𝐏𝐋 𝟔𝟓𝟒𝟓/𝟐𝟎𝟏𝟗, de minha autoria, que cria a 𝐋𝐞𝐢 𝐝𝐞 𝐈𝐧𝐜𝐞𝐧𝐭𝐢𝐯𝐨 à 𝐑𝐞𝐜𝐢𝐜𝐥𝐚𝐠𝐞𝐦. Leia mais aqui:  https://t.co/rToqyQLZ6M",pt,[],['https://bit.ly/2YGGmkG'],[],30,0,11,[],[],https://twitter.com/carlosgomesdep/status/1448650143868194824,False,,0,,,,,,,,[],,,,
1448650070094540802,1448650070094540802,2021-10-14 11:01:05 -03,2021-10-14,11:01:05,-300,1546427636,carlosgomesdep,Carlos Gomes,,"Senado Federal: 𝐑𝐞𝐩𝐫𝐞𝐬𝐞𝐧𝐭𝐚𝐧𝐭𝐞𝐬 𝐝𝐚 𝐫𝐞𝐜𝐢𝐜𝐥𝐚𝐠𝐞𝐦 entregaram, ontem, 𝐦𝐚𝐧𝐢𝐟𝐞𝐬𝐭𝐨 ao presidente Rodrigo Pacheco por 𝐢𝐧𝐜𝐞𝐧𝐭𝐢𝐯𝐨𝐬 𝐟𝐢𝐬𝐜𝐚𝐢𝐬 𝐩𝐚𝐫𝐚 𝐨 𝐬𝐞𝐭𝐨𝐫. Segue.",pt,[],[],[],12,0,3,[],[],https://twitter.com/carlosgomesdep/status/1448650070094540802,False,,0,,,,,,,,[],,,,
1377696923000451072,1377696923000451072,2021-04-01 15:58:37 -03,2021-04-01,15:58:37,-300,1546427636,carlosgomesdep,Carlos Gomes,,"Objetivo é dar um pouco mais de tempo para que os estados possam se adequar a todas as regras para ingressar no Regime de Recuperação Fiscal, o que ficou ainda mais complicado em razão da pandemia da Covid-19.",pt,[],[],[],11,0,1,[],[],https://twitter.com/carlosgomesdep/status/1377696923000451072,False,,0,,,,,,,,[],,,,
1377696637175410688,1377696637175410688,2021-04-01 15:57:29 -03,2021-04-01,15:57:29,-300,1546427636,carlosgomesdep,Carlos Gomes,,"Boa tarde, pessoal. Foi aprovada ontem, na Câmara Federal, a emenda de minha autoria que estabelece novo prazo para que os estados regularizarem contratos de dívidas com a União.",pt,[],[],[],0,0,1,[],[],https://twitter.com/carlosgomesdep/status/1377696637175410688,False,,0,,,,,,,,[],,,,
1359191570306760714,1359191570306760714,2021-02-09 14:24:57 -03,2021-02-09,14:24:57,-300,1546427636,carlosgomesdep,Carlos Gomes,,"Reformas administrativa e tributária, além da autonomia do Banco Central, devem pautar a agenda de reestruturação do nosso país. Vamos em frente!",pt,[],[],[],33,0,2,[],[],https://twitter.com/carlosgomesdep/status/1359191570306760714,False,,0,,,,,,,,[],,,,
1199302900721373184,1199302900721373184,2019-11-26 09:24:28 -03,2019-11-26,09:24:28,-300,1546427636,carlosgomesdep,Carlos Gomes,,"Não podemos mais aceitar que aqueles que assumem o compromisso de proteger a sociedade, tenham que, por vezes, cumprir a promessa com o pagamento da própria vida.",pt,[],[],[],34,1,8,[],[],https://twitter.com/carlosgomesdep/status/1199302900721373184,False,,0,,,,,,,,[],,,,
1199302837819367424,1199302837819367424,2019-11-26 09:24:13 -03,2019-11-26,09:24:13,-300,1546427636,carlosgomesdep,Carlos Gomes,,"Minha solidariedade à família, aos amigos e a toda comunidade da Brigada Militar pela morte da soldado Marciele Renata dos Santos Alves. Ela foi morta ontem, aos 28 anos, após ser atropelada por uma quadrilha que havia roubado um veículo.",pt,[],[],[],4,0,6,[],[],https://twitter.com/carlosgomesdep/status/1199302837819367424,False,,0,,,,,,,,[],,,,
1199044751485472770,1199044751485472770,2019-11-25 16:18:40 -03,2019-11-25,16:18:40,-300,1546427636,carlosgomesdep,Carlos Gomes,,"No Rio Grande do Sul, aprovamos a Lei 13.891, que garante meia-entrada para doadores de sangue no RS. O benefício vale para eventos realizados em locais públicos. #VamosEmFrente #Édagente #DoeSangue #AjudeaSalvarVidas  https://t.co/WcgHOPmuHx",pt,[],['https://www.instagram.com/p/B5TMSIkFUMH/?igshid=1xr8rv801ti9w'],[],2,0,3,"['vamosemfrente', 'édagente', 'doesangue', 'ajudeasalvarvidas']",[],https://twitter.com/carlosgomesdep/status/1199044751485472770,False,,0,,,,,,,,[],,,,
1195801154828959744,1195801154828959744,2019-11-16 17:29:46 -03,2019-11-16,17:29:46,-300,1546427636,carlosgomesdep,Carlos Gomes,,Muito grato a todos os amigos e amigas que nos ajudam a construir um mandato do bem. E fica o convite para quem ainda não curtiu a nossa página no face. #VamosEmFrente #Édagente #Face #facebook #22mil #mandatodobem  https://t.co/bcMCfUrhXP,pt,[],['https://www.instagram.com/p/B48JRF-gi9B/?igshid=18pl9acxlxc4u'],[],0,0,5,"['vamosemfrente', 'édagente', 'face', 'facebook', '22mil', 'mandatodobem']",[],https://twitter.com/carlosgomesdep/status/1195801154828959744,False,,0,,,,,,,,[],,,,
1189525349425696769,1189525349425696769,2019-10-30 09:51:58 -03,2019-10-30,09:51:58,-300,1546427636,carlosgomesdep,Carlos Gomes,,"O objetivo é lutar pela realização de campanhas de conscientização sobre a doença, acesso ao diagnóstico e ao tratamento adequados. No Brasil, estima-se que existam cinco milhões de pessoas com a enfermidade.  https://t.co/VksE1MQnpc",pt,[],[],['https://pbs.twimg.com/media/EIIK_0mX0AEvAel.jpg'],4,0,4,[],[],https://twitter.com/carlosgomesdep/status/1189525349425696769,False,,1,https://pbs.twimg.com/media/EIIK_0mX0AEvAel.jpg,,,,,,,[],,,,
