id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1406784797226278916,1406593677137518598,2021-06-20 22:23:27 -03,2021-06-20,22:23:27,-300,37705232,darcisioperondi,Darcísio Perondi,,@JanainaDoBrasil Concordo ! Desespero político ?,es,[],[],[],0,0,0,[],[],https://twitter.com/darcisioperondi/status/1406784797226278916,False,,0,,,,,,,,"[{'screen_name': 'JanainaDoBrasil', 'name': 'Janaina Paschoal', 'id': '759001618884939776'}]",,,,
1405667360867065862,1405633772616359941,2021-06-17 20:23:09 -03,2021-06-17,20:23:09,-300,37705232,darcisioperondi,Darcísio Perondi,,"@Poder360 @LulaOficial @meirelles Estes setores  são piso e não teto E-mais, o teto libera dinheiro à vontade em caso de pandemi. Leem um pouco",pt,[],[],[],0,0,1,[],[],https://twitter.com/darcisioperondi/status/1405667360867065862,False,,0,,,,,,,,"[{'screen_name': 'Poder360', 'name': 'Poder360', 'id': '4896510833'}, {'screen_name': 'LulaOficial', 'name': 'Lula', 'id': '2670726740'}, {'screen_name': 'meirelles', 'name': 'Henrique Meirelles', 'id': '870030409890910210'}]",,,,
1405666940266418178,1405633772616359941,2021-06-17 20:21:29 -03,2021-06-17,20:21:29,-300,37705232,darcisioperondi,Darcísio Perondi,,@Poder360 @LulaOficial @meirelles Vocês não leram a emenda do teto . Especuladores perderem dinheiro com inflação baixa e juro baixo  Saúde e educação foram protegidos,pt,[],[],[],1,0,3,[],[],https://twitter.com/darcisioperondi/status/1405666940266418178,False,,0,,,,,,,,"[{'screen_name': 'Poder360', 'name': 'Poder360', 'id': '4896510833'}, {'screen_name': 'LulaOficial', 'name': 'Lula', 'id': '2670726740'}, {'screen_name': 'meirelles', 'name': 'Henrique Meirelles', 'id': '870030409890910210'}]",,,,
1405666368943439872,1405633772616359941,2021-06-17 20:19:13 -03,2021-06-17,20:19:13,-300,37705232,darcisioperondi,Darcísio Perondi,,@Poder360 @LulaOficial @meirelles Fui relator . Saúde e educação não era teto e sim Piso. E permite avançar no teto em caso de calamidade. Falta assessoria pro Lula,pt,[],[],[],1,0,17,[],[],https://twitter.com/darcisioperondi/status/1405666368943439872,False,,0,,,,,,,,"[{'screen_name': 'Poder360', 'name': 'Poder360', 'id': '4896510833'}, {'screen_name': 'LulaOficial', 'name': 'Lula', 'id': '2670726740'}, {'screen_name': 'meirelles', 'name': 'Henrique Meirelles', 'id': '870030409890910210'}]",,,,
1405665724945866754,1405545154409242626,2021-06-17 20:16:39 -03,2021-06-17,20:16:39,-300,37705232,darcisioperondi,Darcísio Perondi,,"@RodrigoMaia Não ! O teto dos gastos permite , em caso de pandemia , avançar no orçamento . Covide é devastador !  Governo Bolsonaro reagiu muito bem Fui relator da emenda do teto",pt,[],[],[],0,1,1,[],[],https://twitter.com/darcisioperondi/status/1405665724945866754,False,,0,,,,,,,,"[{'screen_name': 'RodrigoMaia', 'name': 'Rodrigo Maia', 'id': '35260027'}]",,,,
1405661676662398981,1405359546034388994,2021-06-17 20:00:34 -03,2021-06-17,20:00:34,-300,37705232,darcisioperondi,Darcísio Perondi,,@SodaAntarctica Maldade!,es,[],[],[],0,0,0,[],[],https://twitter.com/darcisioperondi/status/1405661676662398981,False,,0,,,,,,,,"[{'screen_name': 'SodaAntarctica', 'name': 'Soda', 'id': '1370146774787223559'}]",,,,
1404053550079033344,1404053097375322113,2021-06-13 09:30:27 -03,2021-06-13,09:30:27,-300,37705232,darcisioperondi,Darcísio Perondi,,Vale a pena a ler . Longevidade e o grupo de descontentes   .,pt,[],[],[],0,0,0,[],[],https://twitter.com/darcisioperondi/status/1404053550079033344,False,,0,,,,,,,,[],,,,
1404053097375322113,1404053097375322113,2021-06-13 09:28:39 -03,2021-06-13,09:28:39,-300,37705232,darcisioperondi,Darcísio Perondi,,Jorge Félix: A longevidade e seus descontentes  https://t.co/jYWDDjiori,pt,[],['https://www1.folha.uol.com.br/opiniao/2021/06/a-longevidade-e-seus-descontentes.shtml?utm_source=twitter&utm_medium=social&utm_campaign=comptw'],[],1,0,0,[],[],https://twitter.com/darcisioperondi/status/1404053097375322113,False,,0,,,,,,,,[],,,,
1401620895131709443,1401179949067902982,2021-06-06 16:23:56 -03,2021-06-06,16:23:56,-300,37705232,darcisioperondi,Darcísio Perondi,,@jrguzzofatos @Protest_A Os milionários da bola  não querem trabalhar !,pt,[],[],[],0,0,2,[],[],https://twitter.com/darcisioperondi/status/1401620895131709443,False,,0,,,,,,,,"[{'screen_name': 'jrguzzofatos', 'name': 'jrguzzo', 'id': '931250955466739712'}, {'screen_name': 'Protest_A', 'name': 'Fabio - @Protest_A 🇧🇷', 'id': '1626550614'}]",,,,
1400832703235342336,1400626195763507205,2021-06-04 12:11:57 -03,2021-06-04,12:11:57,-300,37705232,darcisioperondi,Darcísio Perondi,,@OrestesAJunior É linda e inteligente,pt,[],[],[],0,0,1,[],[],https://twitter.com/darcisioperondi/status/1400832703235342336,False,,0,,,,,,,,"[{'screen_name': 'OrestesAJunior', 'name': 'Orestes de Andrade Jr.🍀', 'id': '152759787'}]",,,,
