id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1524726074906714114,1524726074906714114,2022-05-12 09:19:58 -0300,2022-05-12,09:19:58,-300,57704164,lincoln_portela,Lincoln Portela,,"Logo mais, às 18h30, falaremos na @redesuper sobre a proposta que regulamenta a educação domiciliar (homeschooling) no Brasil. O PL 3.179/12 é de minha autoria.  Vai ao ar pela TV Aberta no canal 21, na TV fechada pela operadora NET, no canal 23 e na operadora OI TV no canal 211.  https://t.co/MfeU1ioS01",pt,"[{'screen_name': 'redesuper', 'name': 'rede super de televisão', 'id': '26924151'}]",[],['https://pbs.twimg.com/media/FSjqSFhXsAEGlLS.jpg'],0,0,6,[],[],https://twitter.com/lincoln_portela/status/1524726074906714114,False,,1,https://pbs.twimg.com/media/FSjqSFhXsAEGlLS.jpg,,,,,,,[],,,,
1524320538042277890,1524320538042277890,2022-05-11 06:28:31 -0300,2022-05-11,06:28:31,-300,57704164,lincoln_portela,Lincoln Portela,,O vereador do PT que gosta de invadir igrejas deve ter mandato cassado.  É o mínimo!   https://t.co/mf5940QWNg,pt,[],['https://noticias.uol.com.br/politica/ultimas-noticias/2022/05/10/conselho-de-etica-aprova-parecer-cassacao-vereador-igreja-curitiba.htm'],[],0,3,16,[],[],https://twitter.com/lincoln_portela/status/1524320538042277890,False,,0,,,,,,,,[],,,,
1523352753468174337,1523352753468174337,2022-05-08 14:22:53 -0300,2022-05-08,14:22:53,-300,57704164,lincoln_portela,Lincoln Portela,,Feliz Dia das Mães! ❤️🙌🏻  https://t.co/NpBdkBbnDq,pt,[],[],['https://pbs.twimg.com/media/FSQJPx9XsAEJ1i-.jpg'],0,1,4,[],[],https://twitter.com/lincoln_portela/status/1523352753468174337,False,,1,https://pbs.twimg.com/media/FSQJPx9XsAEJ1i-.jpg,,,,,,,[],,,,
1523003363834535936,1523003363834535936,2022-05-07 15:14:32 -0300,2022-05-07,15:14:32,-300,57704164,lincoln_portela,Lincoln Portela,,"Enquanto isso em Belo Horizonte, bandidos armados assaltam loja no #BHShopping. Que bom que a nossa gloriosa @pmmg190 já está no local!  Viva a PMMG!",pt,"[{'screen_name': 'pmmg190', 'name': 'polícia militar mg', 'id': '304019555'}]",[],[],2,0,6,['bhshopping'],[],https://twitter.com/lincoln_portela/status/1523003363834535936,False,,0,,,,,,,,[],,,,
1522155054588997632,1522155054588997632,2022-05-05 07:03:39 -0300,2022-05-05,07:03:39,-300,57704164,lincoln_portela,Lincoln Portela,,"Aprovamos na Câmara dos Deputados o piso salarial dos profissionais da enfermagem, que será R$ 4.750. O piso da categoria terá anualmente a atualização monetária com base no Índice Nacional de Preços ao Consumidor (INPC).   #Enfermagem #PisoSalarialdaEnfermagem #pl2564aprovado",pt,[],[],[],0,2,9,"['enfermagem', 'pisosalarialdaenfermagem', 'pl2564aprovado']",[],https://twitter.com/lincoln_portela/status/1522155054588997632,False,,0,,,,,,,,[],,,,
1521848637915021314,1521360513904611328,2022-05-04 10:46:04 -0300,2022-05-04,10:46:04,-300,57704164,lincoln_portela,Lincoln Portela,,"@Antonionetoecs @cirogomes Coitado desse moço, ele é contra até minuto de silêncio.",pt,[],[],[],0,0,1,[],[],https://twitter.com/lincoln_portela/status/1521848637915021314,False,https://twitter.com/lincoln_portela/status/1521822112834629634,0,,,,,,,,"[{'screen_name': 'Antonionetoecs', 'name': 'Antônio Neto', 'id': '1341559539456499712'}, {'screen_name': 'cirogomes', 'name': 'Ciro Gomes', 'id': '33374761'}]",,,,
1521846797722963969,1521429624848273409,2022-05-04 10:38:45 -0300,2022-05-04,10:38:45,-300,57704164,lincoln_portela,Lincoln Portela,,"@AndradeRNegro2 Esse daí é capaz de emitir opiniões sobre absolutamente todos os assuntos que ele desconhece, com uma desenvoltura e um jogo de palavras capaz de enganar qualquer ignorante.",pt,[],[],[],0,0,1,[],[],https://twitter.com/lincoln_portela/status/1521846797722963969,False,https://twitter.com/lincoln_portela/status/1521822112834629634,0,,,,,,,,"[{'screen_name': 'AndradeRNegro2', 'name': 'Andrade', 'id': '1176618139494342656'}]",,,,
1521822130811412483,1521822112834629634,2022-05-04 09:00:44 -0300,2022-05-04,09:00:44,-300,57704164,lincoln_portela,Lincoln Portela,,"10- Por fim, leiam a iniciativa antes de protagonizarem histeria nas redes sociais:   https://t.co/pDzADTkLHG",pt,[],['https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=963755&filename=PL+3179/2012'],[],0,3,12,[],[],https://twitter.com/lincoln_portela/status/1521822130811412483,False,,0,,,,,,,,[],,,,
1521822129188188163,1521822112834629634,2022-05-04 09:00:44 -0300,2022-05-04,09:00:44,-300,57704164,lincoln_portela,Lincoln Portela,,"9- Há quem tenha uma obsessão enorme pela concentração de poder estatal e não admitem nada diferente disso. Contudo, a opção de uns não pode sufocar a liberdade de outros, daí porque é uma modalidade facultativa;",pt,[],[],[],1,3,13,[],[],https://twitter.com/lincoln_portela/status/1521822129188188163,False,,0,,,,,,,,[],,,,
1521822127594385411,1521822112834629634,2022-05-04 09:00:43 -0300,2022-05-04,09:00:43,-300,57704164,lincoln_portela,Lincoln Portela,,"8- Alguns países da América do Sul – Equador, Chile, Argentina, Paraguai e Colômbia – também é adotada a prática do homeschooling. No Chile e na Argentina, estudantes oriundos da educação domiciliar podem realizar exames de certificação para ingresso em cursos de nível superior;",pt,[],[],[],1,1,11,[],[],https://twitter.com/lincoln_portela/status/1521822127594385411,False,,0,,,,,,,,[],,,,
