id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1503356317427245064,1503356317427245064,2022-03-14 10:04:11 -0300,2022-03-14,10:04:11,-300,1030551918127529990,professorjoziel,Professor Joziel,,"Não é comédia. É crime! O filme “Como se Tornar o Pior Aluno da Escola”, em exibição na Netflix, é um escárnio. Não podemos admitir a normalização da pedofilia. Vamos multiplicar forças com o Ministro da Justiça para que medidas sejam adotadas urgentemente!",pt,[],[],[],5,2,4,[],[],https://twitter.com/professorjoziel/status/1503356317427245064,False,,0,,,,,,,,[],,,,
1481404372990976012,1481404372990976012,2022-01-12 20:15:00 -0300,2022-01-12,20:15:00,-300,1030551918127529990,professorjoziel,Professor Joziel,,"Minha querida amiga @DamaresAlves rápido restabelecimento da sua saúde. Se cuida, Deus já está te cuidando também. Que muito em breve esteja de volta aos trabalhos no cuidado da nossa gente, em especial das nossas crianças. Xô Covid! Nossa ministra é mulher muito forte! 🙌🏿",pt,"[{'screen_name': 'damaresalves', 'name': 'damares alves', 'id': '1083774484123975680'}]",[],[],6,1,12,[],[],https://twitter.com/professorjoziel/status/1481404372990976012,False,,0,,,,,,,,[],,,,
1481062829423792130,1481062829423792130,2022-01-11 21:37:50 -0300,2022-01-11,21:37:50,-300,1030551918127529990,professorjoziel,Professor Joziel,,"Momento muito especial e importante na vida sociedade e do Jovem Aprendiz do Brasil. Chegou a hora de juntos escrevermos o Estatuto do Jovem Aprendiz Brasileiro. Faça,  conosco, parte dessa História. Vamos juntos! Assista no Facebook:    https://t.co/npI3I1fDnY",pt,[],['https://fb.watch/atSWQwbO7O/'],[],3,0,5,[],[],https://twitter.com/professorjoziel/status/1481062829423792130,False,,0,,,,,,,,[],,,,
1479510242631299079,1479510242631299079,2022-01-07 14:48:24 -0300,2022-01-07,14:48:24,-300,1030551918127529990,professorjoziel,Professor Joziel,,#LiberdadeDeCultos | O direito está previsto de forma muito clara no artigo 5º da Constituição Federal e deve ser estritamente respeitada.  https://t.co/SLUxDM9qmi,pt,[],[],['https://pbs.twimg.com/media/FIhGuQ3XsAUOE0l.jpg'],3,0,7,['liberdadedecultos'],[],https://twitter.com/professorjoziel/status/1479510242631299079,False,,1,https://pbs.twimg.com/media/FIhGuQ3XsAUOE0l.jpg,,,,,,,[],,,,
1478430472132780037,1478430472132780037,2022-01-04 15:17:47 -0300,2022-01-04,15:17:47,-300,1030551918127529990,professorjoziel,Professor Joziel,,Nosso desejo de pronto restabelecimento ao Presidente @jairbolsonaro Que em breve possa estar de volta aos trabalhos na condução do Brasil! #ForçaBolsonaro 🙌🏿🇧🇷  https://t.co/jw4Ic9mzSS,pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],['https://pbs.twimg.com/media/FIRwrU9X0AsGMe7.jpg'],1,1,6,['forçabolsonaro'],[],https://twitter.com/professorjoziel/status/1478430472132780037,False,,1,https://pbs.twimg.com/media/FIRwrU9X0AsGMe7.jpg,,,,,,,[],,,,
1464263973142994948,1464263973142994948,2021-11-26 13:05:10 -0300,2021-11-26,13:05:10,-300,1030551918127529990,professorjoziel,Professor Joziel,,"O projeto BR do Mar, que incentiva o transporte por cabotagem no país, foi aprovado no Senado. Agora é com a Câmara e tem nosso total apoio para a aprovação. A proposta, que também incentiva a indústria naval, é uma das nossas lutas. Vamos juntos! 🤝🇧🇷",pt,[],[],[],25,2,6,[],[],https://twitter.com/professorjoziel/status/1464263973142994948,False,,0,,,,,,,,[],,,,
1448466282869821443,1448466282869821443,2021-10-13 22:50:47 -0300,2021-10-13,22:50:47,-300,1030551918127529990,professorjoziel,Professor Joziel,,No Dia Mundial da Alimentação Saudável o Congresso Nacional está iluminado para a conscientização do desperdício de alimentos. Boa iniciativa!   📸 Dinho Souto  https://t.co/HQJvgbrWBI,pt,[],[],['https://pbs.twimg.com/media/FBn8Z5tXEAklHvu.jpg'],28,0,1,[],[],https://twitter.com/professorjoziel/status/1448466282869821443,False,,1,https://pbs.twimg.com/media/FBn8Z5tXEAklHvu.jpg,,,,,,,[],,,,
1448452835562201094,1448452835562201094,2021-10-13 21:57:21 -0300,2021-10-13,21:57:21,-300,1030551918127529990,professorjoziel,Professor Joziel,,"Aprovamos agora há pouco a medida que estabelece valor fixo para a cobrança do ICMS frente ao preço do combustível. Na prática, a mudança deve levar à redução do preço final da gasolina em até 8%. É imprescindível reduzir o impacto do imposto que pesa no bolso dos brasileiros.",pt,[],[],[],16,0,4,[],[],https://twitter.com/professorjoziel/status/1448452835562201094,False,,0,,,,,,,,[],,,,
1443214647688056842,1443214647688056842,2021-09-29 11:02:40 -0300,2021-09-29,11:02:40,-300,1030551918127529990,professorjoziel,Professor Joziel,,Proposta de deputado sugere perdão da dívida dos alunos com o FIES  https://t.co/FmLj9EvWKg via @wordpressdotcom,pt,"[{'screen_name': 'wordpressdotcom', 'name': 'wordpress.com', 'id': '823905'}]",['https://baixadapolitica.com.br/2021/09/28/proposta-de-deputado-sugere-perdao-da-divida-dos-alunos-com-o-fies/'],[],11,0,4,[],[],https://twitter.com/professorjoziel/status/1443214647688056842,False,,0,,,,,,,,[],,,,
1427227279332151301,1427227279332151301,2021-08-16 08:14:34 -0300,2021-08-16,08:14:34,-300,1030551918127529990,professorjoziel,Professor Joziel,,"“A cada manhã as misericórdias do Senhor se renovam sobre você. E é graças ao Seu grande amor que você tem vida neste dia! Seja grato, por mais um dia e confie na fidelidade de Deus...” Bom dia, amigos! 🙌🏿",pt,[],[],[],6,1,14,[],[],https://twitter.com/professorjoziel/status/1427227279332151301,False,,0,,,,,,,,[],,,,
